summary,start,end,categories,description,zones 
Jour le plus court de l'année,2016-12-21,,Saisons|Astronomie,Le 21 December est le jour le plus court de l'année 2016.,
Noël,2016-12-25,,Jours fériés|Christianisme|Fêtes,"Célèbre la naissance du Christ. La date du 25 décembre a été fixée au IVe siècle sur une fête solaire romaine préexistante. Le sapin, la bûche et les cadeaux sont des traditions popularisées bien plus tard, au XIXe siècle.",
Saint-Étienne,2016-12-26,,Jours fériés|Christianisme,"Le 26 décembre est férié uniquement en Alsace-Moselle (depts 57, 67, 68). Fête de saint Étienne, premier martyr chrétien.",AM
Nouvelle Lune,2016-12-29,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Dernier jour de l'année,2016-12-31,,Dates spéciales,Clôture de l'année civile 2016.,
Saint-Sylvestre / Réveillon du Nouvel An,2016-12-31,,Fêtes|Culture,"Dernier jour de l'année, nommé d'après le pape Sylvestre Ier mort ce jour en 335.",
Jour de l'an,2017-01-01,,Jours fériés,Premier jour de l'année civile grégorienne. La tradition des vœux existe depuis l'Antiquité romaine. Le gui porte-bonheur vient d'une coutume druidique bien antérieure au christianisme.,
Premier Quartier,2017-01-05,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Épiphanie,2017-01-06,,Christianisme|Culture|Gastronomie,"Célèbre la visite des Rois Mages à Jésus, 12 jours après Noël.",
Pleine Lune,2017-01-12,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Dernier Quartier,2017-01-19,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Journée internationale de l'Éducation,2017-01-24,,Éducation|Société,Proclamée par l'ONU en 2019.,
Journée nationale de la Mémoire de la Shoah,2017-01-27,,Mémoire|Société,Commémore la libération du camp d'Auschwitz le 27 janvier 1945.,
Nouvelle Lune,2017-01-28,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Chandeleur,2017-02-02,,Culture|Christianisme|Gastronomie,"Fête de la Présentation de Jésus au Temple, 40 jours après Noël.",
Journée mondiale des zones humides,2017-02-02,,Environnement,Commémore la Convention de Ramsar signée le 2 février 1971.,
Journée mondiale contre le cancer,2017-02-04,,Santé,Initiée par l'Union Internationale Contre le Cancer depuis 2000.,
Premier Quartier,2017-02-04,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Pleine Lune,2017-02-11,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Saint-Valentin,2017-02-14,,Fêtes|Culture,Fête des amoureux le 14 février.,
Dernier Quartier,2017-02-18,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Salon de l'Agriculture — Ouverture,2017-02-25,,Gastronomie|Agriculture|Culture,Le Salon International de l'Agriculture se tient chaque fin février à Paris.,
Nouvelle Lune,2017-02-26,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Mardi Gras,2017-02-28,,Christianisme|Culture|Fêtes,"Dernier jour avant le Carême, où la tradition voulait qu'on fasse bombance avant l'abstinence.",
Début du Carême,2017-03-01,,Christianisme,"Le Carême commence le Mercredi des Cendres, 46 jours avant Pâques.",
Fête des Grands-Mères,2017-03-05,,Fêtes|Culture,Créée en 1987 par la marque de café Grand'Mère.,
Premier Quartier,2017-03-05,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Journée internationale des femmes,2017-03-08,,Société,Issue des luttes ouvrières du début du XXe siècle en Europe et aux États-Unis.,
Pleine Lune,2017-03-12,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Saint-Patrick,2017-03-17,,Culture|Fêtes,"Fête nationale irlandaise le 17 mars, commémorant la mort de saint Patrick (461).",
Dernier Quartier,2017-03-20,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Début du Printemps — Équinoxe de printemps,2017-03-20,,Saisons|Astronomie,L'équinoxe de printemps marque le début astronomique du printemps.,
Journée nationale de lutte contre les discriminations,2017-03-21,,Société,Créée par l'ONU en 1966 en mémoire du massacre de Sharpeville.,
Journée mondiale de l'eau,2017-03-22,,Environnement|Société,Proclamée par l'ONU en 1993.,
Passage à l'heure d'été,2017-03-26,,Changement d'heure,"Dans la nuit du samedi au dimanche, les montres avancent d'une heure (2h → 3h).",
Nouvelle Lune,2017-03-28,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Poisson d'avril,2017-04-01,,Culture,Journée des farces et des canulars.,
Premier Quartier,2017-04-03,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Journée mondiale de la Santé,2017-04-07,,Santé,Commémore la fondation de l'OMS le 7 avril 1948.,
Dimanche des Rameaux,2017-04-09,,Christianisme,Ouvre la Semaine Sainte en rappelant l'entrée triomphale de Jésus à Jérusalem.,
Pleine Lune,2017-04-11,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Vendredi Saint,2017-04-14,,Jours fériés|Christianisme,"Commémore la crucifixion du Christ. Jour férié uniquement en Alsace-Moselle (départements 57, 67, 68) en vertu du régime concordataire.",AM
Vendredi Saint,2017-04-14,,Christianisme,Commémore la crucifixion du Christ. Non férié en France depuis la loi de 1905 — sauf en Alsace-Moselle.,
Pâques,2017-04-16,,Christianisme,Fête chrétienne célébrant la résurrection du Christ. Sa date varie chaque année car elle suit le calendrier lunaire.,
Lundi de Pâques,2017-04-17,,Jours fériés|Christianisme,"Jour férié qui prolonge le dimanche de Pâques. La tradition des œufs vient du Carême : l'Église interdisait d'en manger pendant 40 jours, on offrait donc à Pâques ceux accumulés.",
Dernier Quartier,2017-04-19,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Jour de la Terre,2017-04-22,,Environnement|Société,Né le 22 avril 1970 après une marée noire en Californie.,
Nouvelle Lune,2017-04-26,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Fête du Travail,2017-05-01,,Jours fériés|Société,"Commémore la grève de Chicago du 1er mai 1886 pour les 8 heures de travail, réprimée dans le sang. Férié et chômé en France depuis 1947. La tradition d'offrir du muguet vient d'une coutume de Charles IX datant de 1561.",
Premier Quartier,2017-05-03,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Fête de la Victoire 1945,2017-05-08,,Jours fériés,"Le 8 mai 1945, l'Allemagne nazie signe sa capitulation sans condition, mettant fin à la guerre en Europe. Férié depuis 1953, supprimé par Giscard en 1975, puis rétabli par Mitterrand en 1981.",
Abolition de l'esclavage en France — Commémoration,2017-05-10,,Mémoire|Société,Journée nationale instaurée par la loi Taubira de 2001.,
Pleine Lune,2017-05-10,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Festival de Cannes — Ouverture,2017-05-14,,Culture|Cinéma,"Le Festival International du Film de Cannes, créé en 1946.",
Dernier Quartier,2017-05-19,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Nuit des Musées,2017-05-20,,Culture,Créée en France en 2005 et étendue à toute l'Europe.,
Journée mondiale de la biodiversité,2017-05-22,,Environnement,Commémore l'adoption de la Convention sur la Diversité Biologique à Rio.,
Ascension,2017-05-25,,Jours fériés|Christianisme,"Fête chrétienne commémorant la montée du Christ au ciel, 40 jours après Pâques. Toujours un jeudi, ce qui en fait naturellement un pont avec le vendredi.",
Nouvelle Lune,2017-05-25,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Fête des Voisins,2017-05-26,,Société,Créée en 2000 pour lutter contre l'isolement urbain.,
Pont possible — Ascension,2017-05-26,,Ponts / Congés,Ascension tombe un jeudi le 25/05/2017. Le vendredi 26/05/2017 est un pont potentiel — vérifiez auprès de votre employeur.,
Journée nationale de la Résistance,2017-05-27,,Mémoire|Société,"Le 27 mai 1943, Jean Moulin préside la première réunion secrète du CNR.",
Fête des Mères,2017-05-28,,Fêtes|Culture,"Célébrée le dernier dimanche de mai, sauf si c'est la Pentecôte.",
Journée mondiale sans tabac,2017-05-31,,Santé,Lancée par l'OMS en 1987.,
Premier Quartier,2017-06-01,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Pentecôte,2017-06-04,,Christianisme,"Célèbre la descente de l'Esprit Saint sur les apôtres, 50 jours après Pâques.",
Lundi de Pentecôte,2017-06-05,,Jours fériés|Christianisme,"Jour férié désigné depuis 2004 Journée de solidarité envers les personnes âgées. Les salariés travaillent ce jour sans rémunération supplémentaire, finançant ainsi la prise en charge de la dépendance — instauré après la canicule de 2003 qui fit 15 000 morts en France.",
Débarquement en Normandie — Commémoration du Jour J,2017-06-06,,Mémoire|Dates spéciales,"Le 6 juin 1944, 156 000 soldats alliés débarquent sur les plages de Normandie.",
Journée mondiale de l'océan,2017-06-08,,Environnement,Proposée lors du Sommet de la Terre de Rio en 1992.,
Pleine Lune,2017-06-09,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Dernier Quartier,2017-06-17,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Appel du 18 juin 1940 — Anniversaire,2017-06-18,,Mémoire|Dates spéciales,"Le 18 juin 1940, de Gaulle lance depuis Londres un appel à la Résistance sur la BBC.",
Fête des Pères,2017-06-18,,Fêtes|Culture,"Née aux États-Unis en 1910, introduite en France dans les années 1950.",
Début de l'Été — Solstice d'été,2017-06-21,,Saisons|Astronomie,Le solstice d'été est le jour le plus long de l'année.,
Fête de la Musique,2017-06-21,,Culture|Fêtes,Créée en 1982 par le ministre Jack Lang.,
Jour le plus long de l'année,2017-06-21,,Saisons|Astronomie,Le 21 June est le jour le plus long de l'année 2017.,
Nouvelle Lune,2017-06-24,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Fête du Cinéma,2017-06-25,,Culture|Cinéma,"Créée en 1985, elle propose chaque fin juin des places à tarif réduit.",
Premier Quartier,2017-07-01,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Milieu de l'année,2017-07-02,,Dates spéciales,Ce jour marque le point médian exact de l'année 2017.,
Festival d'Avignon — Ouverture,2017-07-05,,Culture|Théâtre,Créé par Jean Vilar en 1947 dans la cour du Palais des Papes.,
Commémoration de la Rafle du Vél d'Hiv,2017-07-09,,Mémoire|Société,"Les 16-17 juillet 1942, la police française arrêta 13 152 Juifs à Paris.",
Pleine Lune,2017-07-09,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Fête Nationale,2017-07-14,,Jours fériés|Société|Dates spéciales,Commémore la prise de la Bastille le 14 juillet 1789.,
Fête nationale,2017-07-14,,Jours fériés,"Commémore la prise de la Bastille le 14 juillet 1789, symbole de la Révolution française. Jour férié depuis 1880. Défilé militaire sur les Champs-Élysées, bals des pompiers et feux d'artifice dans toute la France.",
Dernier Quartier,2017-07-16,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Nouvelle Lune,2017-07-23,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Premier Quartier,2017-07-30,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Nuit des Étoiles,2017-08-05,,Astronomie|Éducation|Culture,Organisée chaque premier week-end d'août par l'Association Française d'Astronomie depuis 1991.,
Pleine Lune,2017-08-07,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Pont possible — Assomption,2017-08-14,,Ponts / Congés,Assomption tombe un mardi le 15/08/2017. Le lundi 14/08/2017 est un pont potentiel — vérifiez auprès de votre employeur.,
Assomption,2017-08-15,,Jours fériés,"Célèbre l'élévation de la Vierge Marie au ciel. Fête chrétienne ancienne, jour férié en France depuis le Concordat de 1802. Elle tombe en plein cœur de l'été, au milieu des grandes vacances.",
Assomption de Marie,2017-08-15,,Christianisme|Jours fériés,Célèbre l'élévation de la Vierge Marie au ciel.,
Dernier Quartier,2017-08-15,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Nouvelle Lune,2017-08-21,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Premier Quartier,2017-08-29,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Braderie de Lille,2017-09-02,,Culture|Commerce,"Plus grande braderie d'Europe, organisée le premier week-end de septembre à Lille.",
Rentrée des classes,2017-09-02,,Éducation|Société,La rentrée de septembre mobilise 12 millions d'élèves et 870 000 enseignants en France.,
Pleine Lune,2017-09-06,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Dernier Quartier,2017-09-13,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Journées du Patrimoine,2017-09-16,,Culture|Société,"Créées en France en 1984 par Jack Lang, étendues à toute l'Europe en 1991.",
Nouvelle Lune,2017-09-20,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Début de l'Automne — Équinoxe d'automne,2017-09-22,,Saisons|Astronomie,L'équinoxe d'automne marque le début de l'automne.,
Journée mondiale sans voiture,2017-09-22,,Environnement|Société,Lancée en France en 1998 par La Rochelle.,
Premier Quartier,2017-09-28,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Fête des Grands-Pères,2017-10-01,,Fêtes|Culture,"Créée en 2008, elle a lieu chaque premier dimanche d'octobre.",
Journée mondiale du cacao et du chocolat,2017-10-01,,Gastronomie|Culture,Célébrée le 1er octobre et associée à l'Organisation internationale du cacao (ICCO).,
Lancement d'Octobre Rose,2017-10-01,,Santé,Tout octobre est dédié à la sensibilisation au cancer du sein.,
Pleine Lune,2017-10-05,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Nuit Blanche,2017-10-07,,Culture,Initiée à Paris en 2002 par le maire Bertrand Delanoë.,
Semaine du Goût,2017-10-09,,Gastronomie|Culture,Créée en 1990 par le chef Joël Robuchon.,
Journée mondiale de la santé mentale,2017-10-10,,Santé|Société,Créée par la Fédération Mondiale pour la Santé Mentale en 1992.,
Dernier Quartier,2017-10-12,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Journée mondiale de l'alimentation,2017-10-16,,Gastronomie|Société|Santé,Commémore la fondation de la FAO le 16 octobre 1945.,
